trial,featurizer,descriptor,model_params,train_r2,train_rms,valid_r2,valid_rms,test_r2,test_rms
0,computed_descriptors,mordred_filtered,"0.0250990887208378_421,156,374_0.34084657033730514,0.31809103687785406,0.14655014001468689",0.0,100.0,0.0,100.0,0.0,100.0
1,computed_descriptors,mordred_filtered,"0.00018912563676658488_312,302,21_0.0016230408233324223,0.1120099879052444,0.026103230661834467",0.7886191619264685,0.40334886519444446,0.642664416426465,0.5500688679542934,0.7313241375974394,0.602026102739386
2,computed_descriptors,mordred_filtered,"0.023341268065530257_370,211,396_0.23565981674985742,0.32263534315867554,0.004152142414858818",0.0,100.0,0.0,100.0,0.0,100.0
3,computed_descriptors,mordred_filtered,"0.0002871268549628355_116,52,325_0.17141871094008354,0.17367639603127932,0.05941586806462316",0.8394765719607651,0.3514934565400883,0.677767316428127,0.522352559846542,0.7685741369206773,0.5587363702276653
4,computed_descriptors,mordred_filtered,"1.2113035684070588e-06_346,478,277_0.26523461747448107,0.15924875022052043,0.3301230906316913",0.1796870032406157,0.7945803631110118,0.1805235707903785,0.8330041527135067,0.13450348795336886,1.080522107781353
5,computed_descriptors,mordred_filtered,"0.006378105777227475_147,90,258_0.23426599552779248,0.027561393678755187,0.3853935107056795",0.7276118949126043,0.4578699069826028,0.6273223291261294,0.5617532834967044,0.6752884177018132,0.6618352373240409
6,computed_descriptors,mordred_filtered,"3.19758477674877e-05_393,327,191_0.2386329649293749,0.24708203200668027,0.028616748635460446",0.6988585949645291,0.4814301311474407,0.5694818553337974,0.6037743558805388,0.690858313364558,0.6457728499118837
7,computed_descriptors,mordred_filtered,"1.1877037602390585e-06_461,217,220_0.3161503944102809,0.17713630185300566,0.12734277082766196",0.1132140142111494,0.8261472133216528,0.11271881763177494,0.8667813709306811,0.05161390510624797,1.1310806818853933
8,computed_descriptors,mordred_filtered,"8.717242278264497e-06_323,345,339_0.18731645336559294,0.2447762815419736,0.2635387851564452",0.466514402820859,0.6407806390096161,0.41126378806403374,0.7060562599561564,0.44150035681120847,0.8679854518163622
9,computed_descriptors,mordred_filtered,"1.3746631139647814e-06_329,333,235_0.21542122908684216,0.10668037973160747,0.003199675739723951",0.21489305378393087,0.7773425516388074,0.2128021551610232,0.8164336223102961,0.18849321719897594,1.046277950893325
